2015-09-17,62.099998,62.959999,61.68,61.959999,2181200,61.959999
2015-09-16,60.68,62.07,60.52,62.060001,1807700,62.060001
2015-09-15,59.259998,61.220001,58.549999,60.82,2240400,60.82
2015-09-14,59.91,59.93,58.709999,58.990002,2526300,58.990002
2015-09-11,59.860001,60.52,59.57,60.209999,1380200,60.209999
2015-09-10,59.529999,60.52,59.099998,59.82,1387200,59.82
2015-09-09,60.720001,61.189999,59.43,59.580002,1601000,59.580002
2015-09-08,59.639999,60.279999,58.529999,60.110001,3181400,60.110001
2015-09-04,59.459999,60.389999,59.279999,60.02,1258100,60.02
2015-09-03,60.099998,61.380001,59.939999,60.580002,1357300,60.580002
2015-09-02,59.169998,59.84,58.32,59.84,2811600,59.84
2015-09-01,59.830002,60.209999,58.279999,58.560001,2182700,58.560001
2015-08-31,60.66,62.00,60.630001,61.00,1936300,61.00
2015-08-28,60.00,61.18,59.93,61.02,1501200,61.02
2015-08-27,59.150002,60.41,58.639999,60.00,1618000,60.00
2015-08-26,58.610001,58.790001,56.790001,58.50,1870700,58.50
2015-08-25,59.50,60.099998,57.119999,57.18,1633100,57.18
2015-08-24,56.110001,60.07,55.27,57.700001,2524900,57.700001
2015-08-21,60.849998,61.220001,59.50,59.580002,2232400,59.580002
2015-08-20,61.77,62.439999,61.259998,61.32,994600,61.32
2015-08-19,63.09,63.09,61.830002,62.529999,964000,62.529999
2015-08-18,63.650002,64.07,63.299999,63.50,1173900,63.50
2015-08-17,62.93,63.549999,62.34,63.529999,923800,63.529999
2015-08-14,62.540001,63.369999,62.23,63.130001,1068100,63.130001
2015-08-13,62.650002,63.18,62.040001,62.619999,1076100,62.619999
2015-08-12,62.110001,62.66,60.849998,62.509998,1623200,62.509998
2015-08-11,62.860001,63.00,62.150002,62.759998,1493900,62.759998
2015-08-10,62.610001,63.810001,62.50,63.41,1255800,63.41
2015-08-07,62.099998,62.889999,61.639999,62.150002,1193700,62.150002
2015-08-06,64.25,64.32,61.639999,62.099998,2448200,62.099998
2015-08-05,65.150002,65.800003,64.550003,64.769997,1005200,64.769997
2015-08-04,64.129997,65.290001,64.129997,64.760002,1278900,64.760002
2015-08-03,65.580002,65.580002,63.700001,64.129997,1061500,64.129997
2015-07-31,64.190002,64.870003,63.849998,64.510002,967100,64.510002
2015-07-30,64.110001,64.230003,63.549999,63.990002,1017900,63.990002
2015-07-29,62.869999,64.360001,62.869999,64.260002,1548100,64.260002
2015-07-28,62.310001,62.810001,61.049999,62.669998,1613300,62.669998
2015-07-27,63.049999,63.169998,61.630001,61.959999,2074700,61.959999
2015-07-24,65.57,65.669998,63.080002,63.18,1998300,63.18
2015-07-23,66.660004,66.82,65.110001,65.190002,1818700,65.190002
2015-07-22,66.879997,66.910004,66.099998,66.32,1373300,66.32
2015-07-21,68.160004,68.330002,66.779999,66.879997,897600,66.879997
2015-07-20,68.089996,68.800003,67.830002,68.169998,724000,68.169998
