2015-12-16,148.149994,150.539993,147.740005,149.949997,4645200,149.949997
2015-12-15,151.990005,153.020004,147.080002,148.130005,8625300,148.130005
2015-12-14,155.289993,157.770004,154.339996,157.630005,3441100,157.630005
2015-12-11,155.550003,156.399994,154.419998,154.830002,2507000,154.830002
2015-12-10,155.729996,158.690002,155.589996,157.520004,2548200,157.520004
2015-12-09,156.169998,158.240005,154.940002,156.050003,2660800,156.050003
2015-12-08,156.440002,157.860001,155.679993,156.789993,2350400,156.789993
2015-12-07,157.529999,158.00,156.809998,157.75,2142800,157.75
2015-12-04,154.789993,158.389999,154.570007,158.220001,2175800,158.220001
2015-12-03,156.559998,156.899994,153.710007,154.380005,2609500,154.380005
2015-12-02,156.880005,157.25,155.509995,155.699997,2034700,155.699997
2015-12-01,156.410004,157.669998,156.169998,156.899994,2259000,156.899994
2015-11-30,158.100006,158.470001,156.570007,156.580002,2934200,156.580002
2015-11-27,157.509995,158.490005,156.940002,157.990005,876100,157.990005
2015-11-25,158.059998,158.470001,157.630005,157.630005,1184100,157.630005
2015-11-24,157.369995,158.339996,156.889999,157.75,2100600,157.75
2015-11-23,158.899994,159.770004,158.160004,158.649994,1430400,158.649994
2015-11-20,158.679993,159.839996,158.339996,158.949997,1891100,158.949997
2015-11-19,157.630005,158.509995,156.710007,158.380005,1518200,158.380005
2015-11-18,156.179993,157.50,156.080002,157.389999,2226900,157.389999
2015-11-17,158.360001,158.529999,156.520004,157.029999,2393000,156.004997
2015-11-16,155.610001,158.259995,155.610001,158.210007,2395000,157.177303
2015-11-13,156.00,156.919998,155.600006,155.649994,2434500,154.634
2015-11-12,157.779999,158.289993,156.160004,156.300003,2305600,155.279767
2015-11-11,157.860001,159.490005,157.539993,159.050003,2518900,158.011816
2015-11-10,157.229996,157.639999,156.429993,157.589996,1962900,156.56134
2015-11-09,158.669998,158.669998,156.75,157.470001,2421000,156.442128
2015-11-06,158.020004,159.259995,157.729996,159.259995,1860000,158.220437
2015-11-05,159.380005,159.580002,158.270004,158.990005,2023900,157.95221
2015-11-04,159.00,159.479996,158.610001,158.910004,2254000,157.872731
2015-11-03,159.479996,159.800003,158.669998,158.75,2972800,157.713771
2015-11-02,157.509995,160.089996,157.339996,159.919998,2701800,158.876133
2015-10-30,157.800003,158.679993,157.210007,157.210007,2672100,156.18383
2015-10-29,157.75,157.910004,156.880005,157.610001,1484600,156.581213
2015-10-28,156.490005,158.330002,156.199997,158.080002,2724700,157.048147
2015-10-27,156.00,157.00,155.080002,156.729996,1970100,155.706953
2015-10-26,156.059998,156.759995,155.639999,156.539993,2136100,155.51819
2015-10-23,156.539993,157.190002,154.50,155.789993,2997400,154.773086
2015-10-22,151.339996,157.039993,150.649994,156.00,5111900,154.981722
2015-10-21,149.50,151.389999,148.899994,149.820007,3009900,148.842069
2015-10-20,147.449997,149.669998,147.130005,149.110001,2409300,148.136696
2015-10-19,147.970001,148.419998,147.229996,148.00,2004200,147.033941
2015-10-16,149.770004,149.779999,147.479996,148.699997,2490300,147.729369
2015-10-15,149.639999,149.880005,148.020004,149.190002,2588500,148.216176
2015-10-14,149.00,149.660004,148.179993,148.320007,2260300,147.35186
2015-10-13,148.910004,150.00,148.729996,149.110001,2027600,148.136696
2015-10-12,150.259995,150.559998,149.539993,150.059998,1429300,149.080492
2015-10-09,149.559998,150.649994,149.300003,149.899994,2294000,148.921533
2015-10-08,146.649994,149.559998,146.589996,149.479996,2008800,148.504276
2015-10-07,146.740005,148.539993,146.130005,147.539993,1954000,146.576937
2015-10-06,145.990005,146.639999,145.399994,145.789993,2256800,144.83836
2015-10-05,144.300003,146.600006,143.630005,146.320007,2987200,145.364915
2015-10-02,139.080002,143.300003,138.570007,143.199997,3064400,142.26527
2015-10-01,142.210007,142.50,139.580002,140.800003,2486300,139.880942
2015-09-30,142.520004,143.229996,140.50,141.770004,3619300,140.844611
2015-09-29,138.619995,142.160004,138.429993,141.550003,4946000,140.626046
2015-09-28,138.300003,139.699997,138.300003,138.380005,3468900,137.47674
2015-09-25,139.619995,140.119995,138.570007,139.559998,3767200,138.64903
2015-09-24,136.630005,138.029999,135.389999,137.580002,2690300,136.681959
2015-09-23,138.529999,138.899994,136.860001,137.660004,2684500,136.761438
2015-09-22,138.270004,138.509995,137.25,138.020004,2775300,137.119089
2015-09-21,140.50,141.080002,139.350006,140.039993,2492600,139.125893
2015-09-18,141.169998,141.300003,139.210007,139.619995,6526000,138.708636
2015-09-17,143.809998,145.550003,142.520004,142.949997,2855100,142.016902
2015-09-16,143.509995,144.460007,143.210007,144.199997,2060300,143.258742
2015-09-15,141.559998,143.839996,141.039993,143.600006,2690800,142.662668
2015-09-14,141.520004,141.580002,140.029999,140.809998,2277200,139.890871
2015-09-11,140.610001,141.330002,139.770004,141.259995,2505200,140.337931
2015-09-10,141.00,141.910004,140.149994,140.779999,2031200,139.861068
2015-09-09,144.860001,145.350006,140.570007,140.860001,2642800,139.940548
2015-09-08,142.050003,143.550003,141.520004,143.429993,2432900,142.493764
2015-09-04,139.940002,140.669998,139.160004,139.839996,3195800,138.927201
2015-09-03,141.940002,142.899994,141.309998,141.740005,2606200,140.814808
2015-09-02,140.539993,141.240005,139.240005,141.240005,3312700,140.318072
2015-09-01,139.479996,140.490005,137.940002,138.50,3671400,137.595952
2015-08-31,143.00,143.830002,142.020004,142.139999,2514900,141.212191
2015-08-28,143.020004,144.320007,142.800003,144.210007,2664100,143.268687
2015-08-27,143.75,144.949997,141.330002,143.899994,4104600,142.960698
2015-08-26,140.00,142.789993,138.529999,142.720001,4562200,141.788407
2015-08-25,141.860001,142.059998,137.389999,137.639999,5435900,136.741565
2015-08-24,137.119995,142.089996,134.00,138.580002,7359500,137.675431
2015-08-21,143.520004,145.320007,141.919998,142.089996,5442000,141.162515
2015-08-20,144.509995,144.869995,143.339996,143.350006,3281700,142.4143
2015-08-19,146.199997,147.550003,145.279999,145.869995,2525700,144.91784
2015-08-18,148.630005,148.919998,147.880005,148.309998,1705500,146.323604
2015-08-17,147.429993,149.309998,146.360001,149.240005,1648900,147.241156
2015-08-14,147.660004,148.509995,147.320007,148.279999,1401900,146.294007
2015-08-13,148.00,148.559998,147.080002,147.399994,1793100,145.425789
2015-08-12,147.240005,148.710007,146.070007,148.520004,2036700,146.530798
