2015-12-16,56.75,59.400002,56.75,59.259998,1252800,59.259998
2015-12-15,55.529999,57.060001,55.419998,56.490002,999000,56.490002
2015-12-14,56.349998,56.610001,54.650002,55.119999,1109700,55.119999
2015-12-11,57.220001,57.630001,56.02,56.220001,1741300,56.220001
2015-12-10,58.07,58.75,57.849998,57.98,759200,57.98
2015-12-09,57.560001,58.82,57.259998,57.73,1186700,57.73
2015-12-08,58.810001,58.990002,57.709999,58.02,1287000,58.02
2015-12-07,60.490002,60.619999,58.799999,59.279999,1119900,59.279999
2015-12-04,61.810001,62.470001,60.060001,60.650002,1737200,60.650002
2015-12-03,64.459999,64.610001,61.720001,62.279999,1137300,62.279999
2015-12-02,66.580002,66.580002,63.869999,64.50,952200,64.50
2015-12-01,66.120003,67.00,65.540001,66.900002,564500,66.900002
2015-11-30,66.599998,67.080002,65.889999,65.959999,676800,65.959999
2015-11-27,66.389999,66.93,66.139999,66.559998,172000,66.559998
2015-11-25,66.230003,66.529999,65.720001,66.190002,508900,66.190002
2015-11-24,65.110001,66.309998,64.709999,66.160004,556000,66.160004
2015-11-23,66.980003,67.339996,65.459999,65.620003,725100,65.620003
2015-11-20,67.889999,67.989998,66.839996,66.949997,525700,66.949997
2015-11-19,66.160004,67.93,65.980003,67.620003,705400,67.620003
2015-11-18,66.50,67.010002,65.300003,66.550003,710200,66.140002
2015-11-17,66.360001,66.970001,65.370003,66.010002,795200,65.603328
2015-11-16,65.260002,66.080002,64.849998,66.029999,655000,65.623201
2015-11-13,66.559998,67.330002,65.550003,65.690002,743100,65.2853
2015-11-12,68.57,68.959999,66.589996,66.68,961600,66.269198
2015-11-11,69.07,69.620003,68.779999,69.110001,547000,68.684228
2015-11-10,70.629997,70.989998,68.260002,68.959999,1057900,68.535151
2015-11-09,71.68,71.940002,69.629997,70.75,732000,70.314124
2015-11-06,71.800003,72.07,71.209999,71.879997,450300,71.437159
2015-11-05,71.790001,72.160004,71.209999,71.889999,346200,71.4471
2015-11-04,72.389999,72.389999,71.239998,71.529999,688300,71.089317
2015-11-03,72.660004,73.169998,71.410004,72.389999,682800,71.944019
2015-11-02,71.769997,73.419998,71.709999,72.980003,670600,72.530388
2015-10-30,71.510002,72.32,71.00,71.779999,511600,71.337777
2015-10-29,69.419998,71.720001,69.400002,71.629997,1049000,71.188699
2015-10-28,68.629997,69.470001,68.07,69.419998,1023900,68.992316
2015-10-27,69.889999,69.980003,67.75,68.239998,951800,67.819585
2015-10-26,70.239998,71.150002,70.160004,70.650002,753200,70.214741
2015-10-23,71.769997,72.43,68.82,70.330002,1593300,69.896713
2015-10-22,71.550003,73.339996,70.68,71.370003,1241600,70.930307
2015-10-21,72.769997,72.989998,71.82,72.00,917700,71.556423
2015-10-20,71.68,72.849998,71.529999,72.269997,983500,71.824756
2015-10-19,71.580002,72.25,71.470001,72.120003,830900,71.675686
2015-10-16,73.389999,74.190002,71.110001,71.949997,1436000,71.506728
2015-10-15,71.43,73.360001,70.629997,73.290001,1314600,72.838476
2015-10-14,68.82,71.309998,68.620003,71.120003,2523200,70.681847
2015-10-13,71.309998,71.650002,68.239998,68.629997,5169800,68.207182
2015-10-12,75.800003,76.080002,74.639999,75.650002,483000,75.183937
2015-10-09,75.279999,76.330002,75.160004,75.879997,643100,75.412516
2015-10-08,73.800003,75.260002,73.75,75.129997,566000,74.667137
2015-10-07,73.629997,74.910004,73.07,74.129997,684900,73.673297
2015-10-06,73.75,74.510002,72.800003,73.18,755900,72.729153
2015-10-05,72.230003,74.519997,72.230003,74.010002,1120900,73.554042
2015-10-02,70.760002,71.559998,69.550003,71.550003,1652900,71.109198
2015-10-01,74.040001,74.540001,71.50,71.839996,1780500,71.397405
2015-09-30,74.50,75.639999,73.480003,74.040001,682800,73.583856
2015-09-29,73.629997,75.599998,72.660004,73.519997,716400,73.067055
2015-09-28,74.809998,74.809998,73.099998,73.580002,1127300,73.12669
2015-09-25,75.629997,75.779999,74.550003,75.129997,793100,74.667137
2015-09-24,76.050003,76.139999,74.279999,75.010002,945100,74.547881
2015-09-23,78.279999,78.279999,75.989998,76.779999,711500,76.306973
2015-09-22,80.129997,80.129997,77.419998,78.089996,825200,77.6089
2015-09-21,81.610001,82.25,80.870003,81.199997,488100,80.69974
2015-09-18,82.970001,83.769997,80.540001,80.860001,898500,80.361839
2015-09-17,83.970001,85.080002,83.620003,83.889999,482700,83.37317
2015-09-16,83.620003,84.330002,82.980003,83.919998,744500,83.402984
2015-09-15,81.769997,84.160004,81.580002,83.900002,632500,83.383111
2015-09-14,81.769997,82.360001,81.07,81.349998,494700,80.848818
2015-09-11,81.010002,81.879997,80.940002,81.879997,472700,81.375551
2015-09-10,81.269997,82.330002,80.900002,81.620003,472600,81.117159
2015-09-09,82.599998,82.910004,80.830002,81.019997,970700,80.520849
2015-09-08,81.800003,82.970001,81.57,82.910004,519300,82.399212
2015-09-04,80.059998,81.400002,79.739998,80.169998,469800,79.676087
2015-09-03,81.449997,82.419998,81.040001,81.190002,505500,80.689807
2015-09-02,80.110001,81.00,79.279999,81.00,700600,80.500976
2015-09-01,80.269997,80.739998,78.800003,79.120003,947300,78.632561
2015-08-31,81.559998,82.650002,81.309998,81.970001,670500,81.465001
2015-08-28,81.620003,83.00,81.559998,82.040001,1198900,81.534569
2015-08-27,79.870003,81.919998,79.870003,81.32,1105200,80.819004
2015-08-26,78.110001,79.199997,76.529999,79.029999,959300,78.543111
2015-08-25,79.93,80.389999,76.120003,76.160004,1225800,75.690797
2015-08-24,76.910004,80.870003,75.559998,77.709999,1237000,77.231244
2015-08-21,82.150002,83.169998,80.260002,80.989998,1577600,80.491035
2015-08-20,85.589996,85.970001,82.970001,83.089996,1017100,82.578096
2015-08-19,87.559998,88.050003,86.199997,86.529999,909400,85.58943
2015-08-18,88.919998,89.269997,88.309998,88.410004,512800,87.448999
2015-08-17,88.900002,89.440002,87.839996,88.889999,539400,87.923777
2015-08-14,88.480003,89.410004,88.260002,89.209999,320800,88.240299
2015-08-13,89.940002,89.940002,88.650002,88.75,348800,87.7853
2015-08-12,89.709999,90.160004,87.860001,89.50,850600,88.527147
2015-08-11,91.019997,91.75,89.599998,90.419998,804700,89.437145
2015-08-10,90.709999,92.300003,90.709999,91.790001,553100,90.792256
2015-08-07,91.360001,91.360001,90.089996,90.50,1745800,89.516278
2015-08-06,92.209999,92.690002,90.870003,91.550003,794000,90.554867
2015-08-05,92.099998,93.57,91.879997,91.910004,553500,90.910955
2015-08-04,91.370003,92.300003,91.18,91.639999,546500,90.643885
2015-08-03,90.699997,91.940002,89.730003,91.589996,792400,90.594426
2015-07-31,92.099998,92.309998,90.419998,90.519997,802000,89.536057
2015-07-30,91.82,92.120003,90.769997,91.970001,459800,90.9703
2015-07-29,88.980003,92.449997,88.980003,92.169998,933900,91.168123
2015-07-28,87.769997,89.739998,87.040001,88.980003,666400,88.012803
2015-07-27,87.110001,87.870003,86.769997,87.32,759000,86.370843
2015-07-24,88.089996,89.370003,87.160004,87.720001,951100,86.766497
2015-07-23,90.980003,92.129997,87.959999,88.419998,2310100,87.458885
2015-07-22,93.580002,93.860001,91.779999,93.080002,1392600,92.068235
2015-07-21,91.50,93.839996,91.459999,93.269997,1043800,92.256165
2015-07-20,91.599998,92.260002,91.519997,91.709999,783000,90.713124
