2015-12-16,60.110001,60.650002,59.700001,60.299999,9888000,60.299999
2015-12-15,60.639999,60.84,59.57,59.639999,14607000,59.639999
2015-12-14,59.299999,60.439999,59.07,60.389999,14466900,60.389999
2015-12-11,59.049999,59.529999,58.810001,59.360001,9709100,59.360001
2015-12-10,59.130001,60.09,59.09,59.560001,11357200,59.560001
2015-12-09,59.259998,60.110001,58.900002,59.130001,8981700,59.130001
2015-12-08,60.07,60.490002,59.50,59.610001,10377600,59.610001
2015-12-07,59.57,60.73,59.57,60.50,11595900,60.50
2015-12-04,59.049999,59.849998,59.029999,59.66,10435300,59.66
2015-12-03,58.689999,59.66,58.599998,59.040001,15844100,59.040001
2015-12-02,58.610001,59.290001,58.32,58.349998,13586900,58.349998
2015-12-01,59.130001,59.290001,58.650002,58.990002,12204100,58.500001
2015-11-30,59.869999,60.060001,58.73,58.84,14942600,58.351245
2015-11-27,60.439999,60.689999,59.869999,59.889999,5340900,59.392523
2015-11-25,60.00,60.709999,59.880001,60.240002,7820200,59.739618
2015-11-24,59.950001,60.419998,59.860001,59.919998,12453900,59.422273
2015-11-23,60.290001,60.740002,59.880001,60.259998,10577000,59.759448
2015-11-20,60.98,61.470001,60.02,60.07,12371100,59.571028
2015-11-19,61.119999,61.360001,60.43,60.700001,11566100,60.195796
2015-11-18,60.040001,61.07,59.549999,60.93,14877700,60.423885
2015-11-17,59.34,60.900002,59.200001,59.919998,24679300,59.422273
2015-11-16,56.389999,58.029999,56.360001,57.869999,13321600,57.389302
2015-11-13,56.740002,57.060001,56.299999,56.419998,12514900,55.951345
2015-11-12,57.639999,57.77,56.919998,56.950001,9551500,56.476945
2015-11-11,58.50,58.73,57.470001,57.580002,8689900,57.101713
2015-11-10,58.310001,58.709999,58.310001,58.68,7614900,58.192575
2015-11-09,58.50,58.779999,58.02,58.490002,8440400,58.004154
2015-11-06,58.919998,59.200001,58.310001,58.779999,9977300,58.291743
2015-11-05,58.509998,58.98,58.419998,58.610001,8860500,58.123156
2015-11-04,58.580002,58.759998,58.189999,58.369999,10056500,57.885148
2015-11-03,57.57,58.330002,57.529999,58.110001,10253900,57.62731
2015-11-02,57.290001,57.610001,56.77,57.610001,10719200,57.131463
2015-10-30,57.73,58.119999,57.240002,57.240002,15805500,56.764537
2015-10-29,57.720001,58.119999,57.48,57.959999,12855500,57.478554
2015-10-28,57.66,57.720001,57.16,57.639999,11834700,57.161213
2015-10-27,58.009998,58.040001,57.380001,57.48,10511400,57.002542
2015-10-26,58.400002,58.450001,57.970001,58.02,10839800,57.538057
2015-10-23,59.189999,59.279999,58.220001,58.299999,13040600,57.81573
2015-10-22,58.939999,59.959999,58.639999,58.900002,14588500,58.410748
2015-10-21,58.799999,59.040001,58.57,58.639999,13117600,58.152906
2015-10-20,58.860001,59.00,58.57,58.75,10423700,58.261993
2015-10-19,58.790001,59.299999,58.50,58.849998,17805800,58.361161
2015-10-16,59.470001,59.490002,58.369999,58.889999,25860500,58.400829
2015-10-15,59.700001,60.470001,58.610001,59.330002,46253500,58.837177
2015-10-14,66.610001,67.949997,60.02,60.029999,80898100,59.531359
2015-10-13,66.620003,66.940002,66.260002,66.730003,8858400,66.17571
2015-10-12,66.669998,67.00,66.580002,66.93,5643900,66.374046
2015-10-09,66.940002,67.019997,66.510002,66.690002,6754000,66.136042
2015-10-08,66.230003,66.989998,66.150002,66.879997,5974500,66.324458
2015-10-07,65.839996,66.360001,65.769997,66.360001,7136000,65.808781
2015-10-06,65.540001,65.949997,65.18,65.68,7410900,65.134429
2015-10-05,65.209999,65.919998,65.139999,65.870003,6300300,65.322853
2015-10-02,63.759998,64.980003,63.41,64.980003,7084000,64.440247
2015-10-01,64.760002,64.940002,63.880001,64.269997,7837200,63.736138
2015-09-30,64.43,64.940002,63.93,64.839996,7979200,64.301403
2015-09-29,63.75,64.040001,63.23,63.779999,7640100,63.25021
2015-09-28,63.599998,63.950001,63.48,63.66,9394400,63.131208
2015-09-25,64.07,64.459999,63.619999,63.779999,7163000,63.25021
2015-09-24,63.360001,63.98,63.299999,63.830002,6956200,63.299798
2015-09-23,63.720001,63.93,63.119999,63.720001,5876600,63.190711
2015-09-22,63.23,63.82,62.919998,63.59,8800800,63.06179
2015-09-21,63.75,64.00,63.369999,63.720001,7119600,63.190711
2015-09-18,63.75,64.230003,63.259998,63.34,12885200,62.813866
2015-09-17,64.699997,65.290001,64.160004,64.470001,7133100,63.934481
2015-09-16,64.599998,64.769997,64.050003,64.690002,5625400,64.152655
2015-09-15,64.480003,64.699997,64.050003,64.32,6860800,63.785725
2015-09-14,64.650002,64.669998,63.82,64.279999,6956700,63.746057
2015-09-11,64.18,64.68,63.990002,64.650002,8062400,64.112986
2015-09-10,64.07,64.650002,63.830002,64.120003,14524800,63.58739
2015-09-09,66.860001,67.010002,65.010002,65.120003,9464200,64.579083
2015-09-08,65.230003,66.50,65.18,66.379997,17706800,65.828612
2015-09-04,64.07,64.300003,63.509998,63.889999,9232400,63.359297
2015-09-03,64.720001,65.010002,64.389999,64.860001,8523800,64.321241
2015-09-02,64.589996,64.940002,64.059998,64.440002,9514600,63.904731
2015-09-01,63.799999,64.32,63.27,63.82,13393900,63.289879
2015-08-31,64.82,65.00,64.290001,64.730003,8175200,64.192323
2015-08-28,66.089996,66.120003,64.449997,64.940002,14303000,64.400578
2015-08-27,65.32,66.18,64.949997,66.080002,13912800,65.531108
2015-08-26,64.230003,64.849998,63.02,64.830002,13928300,64.291491
2015-08-25,65.449997,65.709999,63.00,63.099998,14801000,62.575858
2015-08-24,63.740002,66.160004,61.50,63.950001,22239600,63.4188
2015-08-21,67.910004,68.309998,66.540001,66.540001,15746500,65.987286
2015-08-20,68.080002,69.300003,67.940002,68.43,9860100,67.861586
2015-08-19,68.870003,69.389999,67.769997,68.57,16333400,68.000423
2015-08-18,70.00,70.50,69.239998,69.480003,21315000,68.902867
2015-08-17,71.830002,72.230003,71.760002,71.910004,7604400,71.312683
2015-08-14,72.300003,72.599998,72.040001,72.379997,5912500,71.778773
2015-08-13,72.400002,72.769997,71.970001,72.110001,7652400,71.511019
2015-08-12,71.529999,72.660004,71.269997,72.580002,8841400,71.977116
2015-08-11,71.25,72.370003,71.150002,71.93,6829200,71.332514
2015-08-10,71.50,71.75,71.339996,71.480003,6020100,70.886254
2015-08-07,72.709999,72.830002,71.169998,71.25,7797500,70.658162
2015-08-06,73.349998,73.379997,72.660004,72.790001,6367700,72.185371
2015-08-05,72.389999,73.690002,72.25,73.510002,8715800,72.899391
2015-08-04,72.419998,72.800003,71.93,72.25,5873400,71.163926
2015-08-03,71.839996,72.379997,71.839996,72.18,5131800,71.094978
2015-07-31,72.440002,72.489998,71.660004,71.980003,7928400,70.897988
2015-07-30,72.029999,72.529999,71.779999,72.160004,4604500,71.075282
2015-07-29,72.25,72.629997,72.089996,72.230003,4939700,71.14423
2015-07-28,71.529999,72.389999,71.230003,72.099998,8592300,71.016179
2015-07-27,71.379997,71.650002,71.010002,71.379997,6197600,70.307001
2015-07-24,72.529999,72.559998,71.50,71.580002,5951100,70.503999
2015-07-23,73.07,73.220001,72.419998,72.510002,4252900,71.420019
2015-07-22,72.779999,73.82,72.779999,73.160004,6961600,72.06025
2015-07-21,73.099998,73.290001,72.529999,72.739998,6441100,71.646558
2015-07-20,73.349998,73.440002,73.059998,73.099998,5085600,72.001147
