2015-10-01,44.75,44.75,43.75,44.610001,28657900,44.311327
2015-09-30,43.880001,44.299999,43.66,44.259998,34958900,43.963668
2015-09-29,43.369999,43.57,43.049999,43.439999,32763600,43.149159
2015-09-28,43.830002,44.09,43.209999,43.290001,27613800,43.000165
2015-09-25,44.48,44.73,43.759998,43.939999,29384600,43.645811
2015-09-24,43.450001,44.130001,43.27,43.91,27905600,43.616013
2015-09-23,43.93,44.169998,43.509998,43.869999,17145200,43.57628
2015-09-22,43.380001,44.049999,43.310001,43.900002,28085900,43.606082
2015-09-21,43.619999,44.470001,43.599998,44.110001,26177200,43.814675
2015-09-18,43.50,43.990002,43.330002,43.48,63143700,43.188892
2015-09-17,44.290001,45.00,44.080002,44.25,32768200,43.953737
2015-09-16,43.970001,44.380001,43.84,44.299999,23372200,44.003401
2015-09-15,43.189999,44.290001,43.080002,43.98,28882200,43.685544
2015-09-14,43.43,43.439999,42.860001,43.040001,23656000,42.751839
2015-09-11,43.139999,43.59,42.939999,43.48,27132500,43.188892
2015-09-10,43.119999,43.790001,42.75,43.290001,31366600,43.000165
2015-09-09,44.209999,44.400002,42.91,43.07,33469500,42.781637
2015-09-08,43.299999,44.00,43.200001,43.889999,32469800,43.596147
2015-09-04,42.810001,43.040001,42.200001,42.610001,37138800,42.324718
2015-09-03,43.41,43.98,43.279999,43.50,28285200,43.208758
2015-09-02,42.360001,43.380001,41.880001,43.360001,37671500,43.069696
2015-09-01,42.169998,42.59,41.66,41.82,49688900,41.540006
2015-08-31,43.560001,43.93,43.099998,43.52,34441700,43.228625
2015-08-28,43.400002,44.150002,43.389999,43.93,28246700,43.63588
2015-08-27,43.23,43.950001,42.93,43.900002,50943200,43.606082
2015-08-26,42.009998,42.84,41.060001,42.709999,63408000,42.424047
2015-08-25,42.57,43.240002,40.389999,40.470001,70616600,40.199046
2015-08-24,40.450001,42.689999,39.720001,41.68,88753700,41.400944
2015-08-21,45.299999,45.48,43.07,43.07,70053100,42.781637
2015-08-20,46.07,46.470001,45.66,45.66,36238200,45.354297
2015-08-19,46.779999,47.080002,46.299999,46.610001,31485500,46.297937
2015-08-18,46.84,47.43,46.700001,47.27,23574100,46.953518
2015-08-17,46.810001,47.450001,46.57,47.32,21099700,46.695258
2015-08-14,46.529999,47.099998,46.52,47.00,21473400,46.379483
2015-08-13,47.060001,47.099998,46.490002,46.73,22627200,46.113047
2015-08-12,46.189999,46.900002,45.709999,46.740002,30181400,46.122917
2015-08-11,46.82,46.939999,45.900002,46.41,29237400,45.797272
2015-08-10,46.950001,47.490002,46.84,47.330002,23079900,46.705128
2015-08-07,46.389999,46.779999,46.259998,46.740002,19163000,46.122917
2015-08-06,47.709999,47.77,46.330002,46.619999,27368000,46.004499
2015-08-05,47.98,48.41,47.540001,47.580002,26959700,46.951827
2015-08-04,46.75,47.709999,46.68,47.540001,33403900,46.912355
2015-08-03,46.98,47.00,46.450001,46.810001,24125900,46.191993
2015-07-31,47.290001,47.369999,46.50,46.700001,31201500,46.083445
2015-07-30,46.259998,47.400002,45.93,46.880001,39777900,46.261068
2015-07-29,45.400002,46.779999,45.259998,46.290001,40945900,45.678858
2015-07-28,45.580002,45.639999,44.790001,45.34,34328900,44.741399
2015-07-27,45.939999,46.009998,45.25,45.349998,39701400,44.751266
2015-07-24,45.91,46.32,45.799999,45.939999,32333200,45.333476
2015-07-23,45.27,46.23,45.099998,46.110001,33934000,45.501234
2015-07-22,45.439999,46.93,45.200001,45.540001,59152400,44.93876
2015-07-21,46.779999,47.330002,46.48,47.279999,42781900,46.655785
2015-07-20,46.650002,47.130001,46.439999,46.919998,30631900,46.300537
